Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.687792E-01,9.092287E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.682786E+03,9.471466E-02,9.059693E+02,3.064593E+03,3.545285E-01,9.771763E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.275661E+03,7.495276E-02,7.308101E+02,2.390372E+03,2.234049E-01,6.046888E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.567386E+02,5.434434E-02,5.715016E+02,1.626282E+03,3.401406E-01,9.496986E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.275661E+03,7.223687E-02,6.928860E+02,2.332543E+03,2.231856E-01,6.042701E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.567386E+02,6.530960E-02,7.246063E+02,1.841276E+03
00:20:00,2.687810E-01,9.092321E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.692970E+03,9.471466E-02,8.957856E+02,3.026117E+03,3.545299E-01,9.771790E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.283381E+03,7.549684E-02,7.306872E+02,2.372834E+03,2.234058E-01,6.046905E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.613181E+02,5.471691E-02,5.721233E+02,1.616566E+03,3.401420E-01,9.497013E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.283381E+03,7.290961E-02,6.945599E+02,2.317829E+03,2.231865E-01,6.042718E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.613181E+02,6.569096E-02,7.253498E+02,1.830715E+03
00:30:00,2.687827E-01,9.092354E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.703154E+03,9.471466E-02,8.856019E+02,2.987814E+03,3.545312E-01,9.771816E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.291101E+03,7.584796E-02,7.278699E+02,2.351257E+03,2.234066E-01,6.046922E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.658977E+02,5.494955E-02,5.707913E+02,1.603819E+03,3.401434E-01,9.497039E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.291101E+03,7.339237E-02,6.935810E+02,2.299150E+03,2.231874E-01,6.042735E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.658977E+02,6.591394E-02,7.238828E+02,1.816829E+03
00:40:00,2.687843E-01,9.092386E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.713338E+03,9.471466E-02,8.754182E+02,2.949683E+03,3.545325E-01,9.771840E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.298821E+03,7.603781E-02,7.228008E+02,2.326317E+03,2.234075E-01,6.046938E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.704772E+02,5.506582E-02,5.678349E+02,1.588579E+03,3.401447E-01,9.497064E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.298821E+03,7.371506E-02,6.903669E+02,2.277132E+03,2.231883E-01,6.042751E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.704772E+02,6.600540E-02,7.205801E+02,1.800236E+03
00:50:00,2.687859E-01,9.092416E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.723521E+03,9.471466E-02,8.652345E+02,2.911724E+03,3.545338E-01,9.771864E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.306541E+03,7.609250E-02,7.158445E+02,2.298582E+03,2.234083E-01,6.046953E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.750568E+02,5.508503E-02,5.635234E+02,1.571293E+03,3.401459E-01,9.497088E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.306541E+03,7.390255E-02,6.852650E+02,2.252312E+03,2.231891E-01,6.042767E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.750568E+02,6.598718E-02,7.157464E+02,1.781440E+03
01:00:00,2.687875E-01,9.092446E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.733705E+03,9.471466E-02,8.550508E+02,2.873935E+03,3.545350E-01,9.771888E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.314261E+03,7.603354E-02,7.073012E+02,2.268527E+03,2.234091E-01,6.046968E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.796363E+02,5.502299E-02,5.580779E+02,1.552328E+03,3.401472E-01,9.497111E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.314261E+03,7.397549E-02,6.785636E+02,2.225140E+03,2.231899E-01,6.042782E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.796363E+02,6.587722E-02,7.096323E+02,1.760851E+03
01:10:00,2.687890E-01,9.092474E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.740494E+03,9.471466E-02,8.482616E+02,2.848837E+03,3.545361E-01,9.771908E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.319407E+03,7.608559E-02,7.028815E+02,2.250425E+03,2.234097E-01,6.046981E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.826893E+02,5.501722E-02,5.549447E+02,1.540214E+03,3.401482E-01,9.497132E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.319407E+03,7.415667E-02,6.759470E+02,2.209877E+03,2.231905E-01,6.042795E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.826893E+02,6.581525E-02,7.057150E+02,1.746939E+03
01:20:00,2.687904E-01,9.092502E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.747283E+03,9.471466E-02,8.414725E+02,2.823813E+03,3.545371E-01,9.771928E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.324554E+03,7.607659E-02,6.976093E+02,2.231076E+03,2.234104E-01,6.046994E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.857424E+02,5.496666E-02,5.511860E+02,1.527218E+03,3.401493E-01,9.497151E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.324554E+03,7.427368E-02,6.724342E+02,2.193283E+03,2.231912E-01,6.042808E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.857424E+02,6.570122E-02,7.010709E+02,1.732109E+03
01:30:00,2.687918E-01,9.092529E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.754072E+03,9.471466E-02,8.346834E+02,2.798864E+03,3.545381E-01,9.771947E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.329700E+03,7.601701E-02,6.916308E+02,2.210712E+03,2.234111E-01,6.047006E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.887954E+02,5.487907E-02,5.469104E+02,1.513512E+03,3.401503E-01,9.497171E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.329700E+03,7.433671E-02,6.681677E+02,2.175583E+03,2.231918E-01,6.042820E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.887954E+02,6.554396E-02,6.958233E+02,1.716543E+03
01:40:00,2.687932E-01,9.092555E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.760861E+03,9.471466E-02,8.278942E+02,2.773989E+03,3.545391E-01,9.771965E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.334847E+03,7.591690E-02,6.850864E+02,2.189554E+03,2.234117E-01,6.047018E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.918484E+02,5.476172E-02,5.422194E+02,1.499255E+03,3.401512E-01,9.497189E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.334847E+03,7.435559E-02,6.632848E+02,2.156996E+03,2.231925E-01,6.042832E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.918484E+02,6.535169E-02,6.900868E+02,1.700405E+03
